sample,db,method_x,prct_matched_x,prct_not_matched_x,method_y,prct_matched_y,prct_not_matched_y,us-kraken,mark
1x_GCA_902509555.1_AG-313-A10_genomic.fq,gtdb,kraken,63.17,36.83,us,77.32491389207807,22.675086107921928,14.15491389207807,1
1x_GCA_902509565.1_AG-313-A02_genomic.fq,gtdb,kraken,60.58,39.42,us,88.62433862433863,11.375661375661366,28.044338624338636,1
1x_GCA_902509575.1_AG-313-A17_genomic.fq,gtdb,kraken,21.37,78.63,us,52.69130998702983,47.30869001297017,31.32130998702983,1
1x_GCA_902509585.1_AG-313-A03_genomic.fq,gtdb,kraken,37.97,62.03,us,60.83429895712629,39.1657010428737,22.864298957126294,1
1x_GCA_902509595.1_AG-313-A16_genomic.fq,gtdb,kraken,13.4,86.6,us,31.914893617021278,68.08510638297872,18.51489361702128,1
1x_GCA_902509605.1_AG-313-B04_genomic.fq,gtdb,kraken,19.13,80.87,us,37.06695386824628,62.93304613175372,17.93695386824628,1
1x_GCA_902509615.1_AG-313-A22_genomic.fq,gtdb,kraken,80.19,19.81,us,83.74012921751616,16.259870782483844,3.550129217516158,1
1x_GCA_902509625.1_AG-313-A07_genomic.fq,gtdb,kraken,95.45,4.549999999999997,us,100.0,0.0,4.549999999999997,1
1x_GCA_902509635.1_AG-313-A06_genomic.fq,gtdb,kraken,79.5,20.5,us,82.64388489208632,17.356115107913663,3.1438848920863194,1
1x_GCA_902509645.1_AG-313-A08_genomic.fq,gtdb,kraken,49.82,50.18,us,70.47970479704797,29.52029520295203,20.659704797047972,1
1x_GCA_902509655.1_AG-313-A13_genomic.fq,gtdb,kraken,87.23,12.769999999999996,us,89.70460469157257,10.29539530842746,2.4746046915725657,1
1x_GCA_902509665.1_AG-313-A04_genomic.fq,gtdb,kraken,99.95,0.04999999999999717,us,99.984335839599,0.015664160401001936,0.03433583959899522,1
1x_GCA_902509675.1_AG-313-A15_genomic.fq,gtdb,kraken,26.3,73.7,us,59.616461366181404,40.3835386338186,33.3164613661814,1
1x_GCA_902509685.1_AG-313-A20_genomic.fq,gtdb,kraken,76.91,23.090000000000003,us,83.41810783316377,16.581892166836223,6.508107833163777,1
